team,player
Derry City FC,Brendan Bradley
Derry City FC,Kevin Brady
Derry City FC,Killian Brennan
Derry City FC,Bobby Browne
Derry City FC,Gerardo Bruna
Derry City FC,Robbie Brunton
Derry City FC,Cormac Burke
Derry City FC,Peter Burke
Derry City FC,Cliff Byrne
Derry City FC,David Byrne
Derry City FC,Aaron Callaghan
Derry City FC,David Campbell
Derry City FC,Johnny Campbell
Derry City FC,Paul Carlyle
Derry City FC,Brian Cash
Derry City FC,Cristian Castells
Derry City FC,Fred Castle
Derry City FC,John Charlton
Derry City FC,Peter Cherrie
Derry City FC,Harris Chueu
